timestamp,device_id,device_name,interface_name,interface_index,oper_status,admin_status,in_traffic_bps,out_traffic_bps,in_errors,out_errors,in_discards,out_discards,packet_loss_pct,latency_ms,device_cpu_pct,device_memory_pct,device_availability,device_uptime_sec
2026-04-09 10:00:00,r1,router1,ether1,1,up,up,185019364.74,81450193.59,0,1,0,0,0.0,7.46,23.56,43.21,true,864000
2026-04-09 10:01:00,r1,router1,ether1,1,up,up,165373028.64,85187896.08,1,1,1,0,0.2,8.24,23.8,45.67,true,864060
2026-04-09 10:02:00,r1,router1,ether1,1,up,up,191139496.44,81116977.67,1,1,1,1,0.1,8.73,24.36,43.45,true,864120
2026-04-09 10:03:00,r1,router1,ether1,1,up,up,165481789.57,96254898.59,2,1,1,1,0.0,8.25,25.92,45.16,true,864180
2026-04-09 10:04:00,r1,router1,ether1,1,up,up,182784677.23,93682293.05,2,1,2,1,0.0,6.91,26.09,47.18,true,864240
2026-04-09 10:05:00,r1,router1,ether1,1,up,up,178322770.89,96013987.68,2,1,2,1,0.0,7.19,23.84,43.95,true,864300
2026-04-09 10:06:00,r1,router1,ether1,1,up,up,178641367.63,85859060.88,2,1,2,1,0.2,9.02,23.88,44.21,true,864360
2026-04-09 10:07:00,r1,router1,ether1,1,up,up,176441932.33,82191394.89,3,2,3,1,0.2,8.99,26.51,44.17,true,864420
2026-04-09 10:08:00,r1,router1,ether1,1,up,up,171535685.99,85439295.14,4,2,3,1,0.0,8.15,25.99,44.68,true,864480
2026-04-09 10:09:00,r1,router1,ether1,1,up,up,180342946.57,82636369.42,5,2,4,2,0.0,6.91,23.61,43.47,true,864540
2026-04-09 10:10:00,r1,router1,ether1,1,up,up,183451983.42,89424897.98,5,2,4,2,0.2,7.4,26.44,42.8,true,864600
2026-04-09 10:11:00,r1,router1,ether1,1,up,up,172566004.63,83846839.58,5,2,4,2,0.0,6.81,26.89,46.18,true,864660
2026-04-09 10:12:00,r1,router1,ether1,1,up,up,175460898.69,83907882.64,6,2,4,2,0.2,9.09,26.67,45.45,true,864720
2026-04-09 10:13:00,r1,router1,ether1,1,up,up,193633987.6,95969979.53,6,2,5,2,0.0,7.54,23.96,45.3,true,864780
2026-04-09 10:14:00,r1,router1,ether1,1,up,up,197207441.77,90588711.05,7,2,5,2,0.1,7.1,26.79,43.49,true,864840
2026-04-09 10:15:00,r1,router1,ether1,1,up,up,176363722.8,93090365.27,7,2,5,2,0.2,7.7,24.81,43.87,true,864900
2026-04-09 10:16:00,r1,router1,ether1,1,up,up,183183844.12,81129435.1,7,2,5,2,0.0,8.5,23.92,46.82,true,864960
2026-04-09 10:17:00,r1,router1,ether1,1,up,up,186083200.02,84856262.53,8,3,5,2,0.2,7.12,25.3,43.84,true,865020
2026-04-09 10:18:00,r1,router1,ether1,1,up,up,165489509.31,88758921.28,8,3,6,2,0.1,7.82,26.46,42.99,true,865080
2026-04-09 10:19:00,r1,router1,ether1,1,up,up,190821330.39,82966842.58,8,4,6,2,0.2,7.26,24.79,44.65,true,865140
2026-04-09 10:20:00,r1,router1,ether1,1,up,up,177952706.82,96504283.89,8,4,6,2,0.0,8.12,25.61,45.18,true,865200
2026-04-09 10:21:00,r1,router1,ether1,1,up,up,176630906.09,89664451.52,9,4,7,2,0.0,8.88,23.66,42.76,true,865260
2026-04-09 10:22:00,r1,router1,ether1,1,up,up,177228269.5,98231717.54,9,4,7,2,0.2,9.19,25.65,44.94,true,865320
2026-04-09 10:23:00,r1,router1,ether1,1,up,up,182850490.47,90759513.62,9,4,7,2,0.0,8.6,23.2,44.9,true,865380
2026-04-09 10:24:00,r1,router1,ether1,1,up,up,164466767.98,82223295.54,9,4,7,3,0.1,8.87,23.48,46.76,true,865440
2026-04-09 10:25:00,r1,router1,ether1,1,up,up,185665433.92,91174084.63,9,4,8,3,0.0,7.56,23.82,45.97,true,865500
2026-04-09 10:26:00,r1,router1,ether1,1,up,up,186180848.03,86399947.44,9,4,8,3,0.0,7.56,23.04,45.55,true,865560
2026-04-09 10:27:00,r1,router1,ether1,1,up,up,166768436.53,87282159.03,9,4,8,3,0.0,6.97,24.48,43.46,true,865620
2026-04-09 10:28:00,r1,router1,ether1,1,up,up,195801480.14,83417240.06,9,4,8,3,0.0,7.08,25.97,43.45,true,865680
2026-04-09 10:29:00,r1,router1,ether1,1,up,up,186749896.64,96352430.68,9,5,8,3,0.0,8.01,26.62,46.56,true,865740
2026-04-09 10:30:00,r1,router1,ether1,1,up,up,162127644.81,94880146.01,10,5,8,3,0.0,8.33,23.65,44.74,true,865800
2026-04-09 10:31:00,r1,router1,ether1,1,up,up,196021833.81,93438353.23,10,6,8,3,0.0,7.16,26.34,45.37,true,865860
2026-04-09 10:32:00,r1,router1,ether1,1,up,up,173097300.6,97181666.8,10,6,8,4,0.0,8.71,26.6,43.7,true,865920
2026-04-09 10:33:00,r1,router1,ether1,1,up,up,197058132.81,94490597.0,10,7,8,4,0.0,9.02,26.46,47.14,true,865980
2026-04-09 10:34:00,r1,router1,ether1,1,up,up,188516320.98,86979338.42,10,8,8,5,0.0,9.03,24.07,46.29,true,866040
2026-04-09 10:35:00,r1,router1,ether1,1,up,up,170007613.83,95698558.9,10,8,8,6,0.0,7.9,26.28,46.67,true,866100
2026-04-09 10:36:00,r1,router1,ether1,1,up,up,173817430.24,96558352.96,10,8,8,6,0.0,9.12,24.4,45.04,true,866160
2026-04-09 10:37:00,r1,router1,ether1,1,up,up,168428441.38,98325617.68,10,9,8,7,0.0,7.44,25.39,44.31,true,866220
2026-04-09 10:38:00,r1,router1,ether1,1,up,up,194382170.38,84421417.94,10,9,9,7,0.1,6.91,23.01,46.92,true,866280
2026-04-09 10:39:00,r1,router1,ether1,1,up,up,196159481.49,97573875.41,10,10,9,8,0.0,8.3,25.88,44.1,true,866340
2026-04-09 10:40:00,r1,router1,ether1,1,up,up,187099502.91,90979424.6,10,11,9,8,0.1,7.26,25.71,46.81,true,866400
2026-04-09 10:41:00,r1,router1,ether1,1,up,up,172328893.81,88737986.7,10,12,9,8,0.0,8.19,24.86,44.74,true,866460
2026-04-09 10:42:00,r1,router1,ether1,1,up,up,172216310.58,92949369.05,10,12,9,8,0.0,8.29,26.27,46.13,true,866520
2026-04-09 10:43:00,r1,router1,ether1,1,up,up,162879313.96,85407165.79,10,13,10,9,0.0,7.94,24.82,46.74,true,866580
2026-04-09 10:44:00,r1,router1,ether1,1,up,up,170783439.82,92809044.2,11,13,10,9,0.0,6.81,26.11,43.73,true,866640
2026-04-09 10:45:00,r1,router1,ether1,1,up,up,178432625.72,95425498.83,12,14,11,9,0.2,8.4,25.38,47.03,true,866700
2026-04-09 10:46:00,r1,router1,ether1,1,up,up,188771595.92,89544139.86,13,14,11,10,0.0,7.42,26.36,44.0,true,866760
2026-04-09 10:47:00,r1,router1,ether1,1,up,up,164789400.74,86143106.72,13,14,12,10,0.0,7.45,26.57,43.11,true,866820
2026-04-09 10:48:00,r1,router1,ether1,1,up,up,187431089.1,82156119.31,14,15,12,11,0.2,7.78,24.86,43.03,true,866880
2026-04-09 10:49:00,r1,router1,ether1,1,up,up,179171270.37,97969349.83,15,15,13,11,0.1,7.52,26.41,47.04,true,866940
2026-04-09 10:50:00,r1,router1,ether1,1,up,up,171825671.22,89741555.89,15,15,14,11,0.1,7.73,25.9,46.53,true,867000
2026-04-09 10:51:00,r1,router1,ether1,1,up,up,165022108.64,88715029.85,15,16,14,11,0.0,8.88,23.2,44.46,true,867060
2026-04-09 10:52:00,r1,router1,ether1,1,up,up,189404269.48,87824271.88,15,16,14,11,0.1,8.6,24.01,43.12,true,867120
2026-04-09 10:53:00,r1,router1,ether1,1,up,up,185405187.36,95062194.89,15,16,14,11,0.0,8.36,26.8,43.65,true,867180
2026-04-09 10:54:00,r1,router1,ether1,1,up,up,179048198.19,83059010.03,15,16,14,11,0.1,9.07,25.8,46.2,true,867240
2026-04-09 10:55:00,r1,router1,ether1,1,up,up,165891554.99,81462211.66,15,16,14,11,0.1,7.55,24.59,45.97,true,867300
2026-04-09 10:56:00,r1,router1,ether1,1,up,up,192610556.61,91807409.07,16,16,14,11,0.2,7.09,26.13,44.31,true,867360
2026-04-09 10:57:00,r1,router1,ether1,1,up,up,162455477.41,88561057.34,17,16,15,11,0.1,7.98,26.84,45.61,true,867420
2026-04-09 10:58:00,r1,router1,ether1,1,up,up,188416630.94,98378527.16,17,16,15,11,0.2,7.45,26.1,44.84,true,867480
2026-04-09 10:59:00,r1,router1,ether1,1,up,up,172041416.97,89114436.0,17,17,15,11,0.2,8.6,25.44,44.46,true,867540
2026-04-09 10:00:00,r1,router1,ether2,2,up,up,219452197.03,97096499.32,0,0,0,0,0.0,7.42,26.52,45.91,true,864000
2026-04-09 10:01:00,r1,router1,ether2,2,up,up,208619666.22,98128562.49,1,1,0,0,0.0,8.13,25.76,45.66,true,864060
2026-04-09 10:02:00,r1,router1,ether2,2,up,up,210946365.58,98088022.57,1,2,0,0,0.2,7.38,24.48,45.24,true,864120
2026-04-09 10:03:00,r1,router1,ether2,2,up,up,228925617.46,95418328.54,1,2,0,1,0.0,7.4,25.89,44.17,true,864180
2026-04-09 10:04:00,r1,router1,ether2,2,up,up,210165983.59,101791738.12,1,2,0,1,0.2,8.62,24.13,43.2,true,864240
2026-04-09 10:05:00,r1,router1,ether2,2,up,up,205895427.92,90282967.35,1,2,1,1,0.0,8.08,23.18,43.0,true,864300
2026-04-09 10:06:00,r1,router1,ether2,2,up,up,236399668.34,101481284.39,1,3,1,1,0.1,7.93,24.36,47.09,true,864360
2026-04-09 10:07:00,r1,router1,ether2,2,up,up,215631127.46,91481643.41,1,3,1,1,0.0,8.31,23.61,46.4,true,864420
2026-04-09 10:08:00,r1,router1,ether2,2,up,up,222555213.52,98323480.43,2,4,1,2,0.2,8.23,23.9,45.1,true,864480
2026-04-09 10:09:00,r1,router1,ether2,2,up,up,211436730.75,102420546.42,2,4,1,2,0.0,8.26,26.79,43.69,true,864540
2026-04-09 10:10:00,r1,router1,ether2,2,up,up,208554067.82,101039844.91,2,4,1,2,0.1,7.18,24.8,45.42,true,864600
2026-04-09 10:11:00,r1,router1,ether2,2,up,up,229106056.51,104059751.16,2,5,1,2,0.0,7.89,26.7,46.3,true,864660
2026-04-09 10:12:00,r1,router1,ether2,2,up,up,226495927.83,108168228.9,2,6,1,3,0.0,8.78,23.24,46.32,true,864720
2026-04-09 10:13:00,r1,router1,ether2,2,up,up,228301831.61,103994673.7,2,7,1,3,0.2,9.06,25.16,44.72,true,864780
2026-04-09 10:14:00,r1,router1,ether2,2,up,up,199138055.27,94578488.31,2,7,1,4,0.2,8.42,25.35,42.84,true,864840
